Model,AUC,Accuracy,F1-Score
Logistic Regression,0.6063743110187211,0.9807468496669075,0.9712138462250395
Decision Tree,0.5,0.9807468496669075,0.9712138462250395
Random Forest,0.6200585147215726,0.9807468496669075,0.9712138462250395
Gradient Boosted Trees,0.655936607930378,0.9807468496669075,0.9712138462250395
